Scenario,MissedDose,Cmax,Cmin,AUC
0,2,107.865880061291,5.18306467870238,955.43566051092
m/5,2,111.72507901832,2.64994563514116,1345.81673795442
2m/5,2,119.315804396399,1.35498008685513,1607.77777961323
3m/5,2,134.314567167229,0.692904428617536,1739.06112993223
4m/5,2,164.118946495282,0.354364183174287,1802.16323592635
m,2,207.517619935982,0.181238840281826,1840.5439535391
