Scenario,MissedDose,Cmax,Cmin,AUC
0,3,107.865880061291,5.36403966674613,956.684783693656
m/5,3,111.730049527645,2.74246011685817,1346.60067260721
2m/5,3,119.320029910865,1.40227697651852,1605.04904068076
3m/5,3,134.31999846324,0.717087294807991,1737.55255756647
4m/5,3,164.124081733191,0.366730326389026,1802.24575209839
m,3,207.525813027802,0.187562997362267,1840.58767901985
