Time_hr,Free_Valsartan_nM,AngII_ATR1_Complex_nM
40.270416335132,104.20195477501,5.32286304095541e-06
40.3159282862171,104.13471998935,5.24303176998354e-06
40.3614402373022,104.031038210755,5.17484382556353e-06
40.4252763099685,103.828987095873,5.09611533375739e-06
40.4891123826347,103.566607168783,5.03415232271281e-06
40.552948455301,103.249778479314,4.98620967900314e-06
40.6167845279673,102.883869102024,4.95003571957858e-06
40.6806206006336,102.473779064995,4.92378171518476e-06
40.7444566732998,102.023980799681,4.9059261326882e-06
40.8082927459661,101.538556111343,4.89521317544771e-06
40.8856435171242,100.907941763246,4.89032886899267e-06
40.9629942882822,100.236459977225,4.89291350905208e-06
41.0403450594403,99.5294709397193,4.90176364937401e-06
41.1176958305983,98.7917688820338,4.91591468014765e-06
41.1950466017564,98.0276405602612,4.93459003905465e-06
41.2723973729144,97.2409180766232,4.95716056163074e-06
41.3497481440725,96.4350260827416,4.98311338805245e-06
41.4270989152305,95.6130239359537,5.01202852790809e-06
41.5044496863886,94.7776434540687,5.04356051494437e-06
41.5818004575466,93.9313227768049,5.07742350864738e-06
41.6591512287047,93.0762369417563,5.11337935608303e-06
41.7365019998627,92.2143251958098,5.15122837865908e-06
41.8138527710208,91.3473154429402,5.19080229468874e-06
41.8912035421788,90.4767461847641,5.23195855441047e-06
41.9685543133369,89.6039861330671,5.27457567693556e-06
42.0459050844949,88.7302518620164,5.31854951111995e-06
42.123255855653,87.8566236698763,5.36379033247981e-06
42.2006066268111,86.9840598167916,5.41022052903003e-06
42.2779573979691,86.1134092163845,5.45777266294625e-06
42.3553081691272,85.2454227700827,5.50638787244812e-06
42.4326589402852,84.3807636543367,5.55601461808167e-06
42.5100097114433,83.5200164490538,5.60660766842714e-06
42.5873604826013,82.663695396203,5.65812721224506e-06
42.6647112537594,81.8122517990885,5.71053810101405e-06
42.7420620249174,80.9660805909134,5.76380925998054e-06
42.8194127960755,80.1255262221399,5.81791321667343e-06
42.8967635672335,79.2908880201978,5.8728256623184e-06
42.9741143383916,78.4624249880151,5.92852504676296e-06
43.0514651095496,77.6403600083092,5.98499228039835e-06
43.1288158807077,76.8248836625684,6.04221045699453e-06
43.2061666518657,76.0161577329258,6.10016466163872e-06
43.2835174230238,75.214318233877,6.15884167486637e-06
43.3608681941818,74.4194781703893,6.21822991867624e-06
43.4382189653399,73.6317299834962,6.27831907831161e-06
43.5155697364979,72.851147832572,6.33909990511256e-06
43.592920507656,72.0777895580596,6.40056470217688e-06
43.670271278814,71.3116984530708,6.46270737273925e-06
43.7476220499721,70.5529048564781,6.52552246491093e-06
43.8249728211301,69.8014275163864,6.58900456919777e-06
43.9023235922882,69.0572749483412,6.65314897293499e-06
43.9796743634463,68.3204466476976,6.71795236882872e-06
44.0570251346043,67.5909339965362,6.78341240765481e-06
44.1343759057624,66.8687212388028,6.84952686125227e-06
44.2117266769204,66.1537862303249,6.91629365705316e-06
44.2890774480785,65.4461012501175,6.98371147962818e-06
44.3664282192365,64.7456337361145,7.05177982848717e-06
44.4437789903946,64.0523467293022,7.12049849325147e-06
44.5211297615526,63.3661994819165,7.18986731582363e-06
44.5984805327107,62.6871479320359,7.25988647822846e-06
44.6758313038687,62.015145060865,7.33055670505762e-06
44.7531820750268,61.3501413334445,7.40187905458443e-06
44.8305328461848,60.6920851103674,7.47385467704381e-06
44.9078836173429,60.040922833146,7.54648487176549e-06
44.9852343885009,59.3965993134507,7.61977124636213e-06
45.062585159659,58.7590579852966,7.69371568509602e-06
45.139935930817,58.1282411494227,7.7683201976953e-06
45.2172867019751,57.5040901542806,7.84358687876307e-06
45.2946374731331,56.8865455759913,7.91951797107266e-06
45.3719882442912,56.2755474027815,7.99611591531415e-06
45.4493390154492,55.6710350938219,8.07338329363195e-06
45.5266897866073,55.0729477108307,8.15132276703264e-06
45.6040405577653,54.48122406676,8.2299370411348e-06
45.6813913289234,53.8958028400642,8.30922891994189e-06
45.7587421000814,53.3166226603461,8.38920129845488e-06
45.8360928712395,52.743622139024,8.46985718423084e-06
45.9134436423976,52.1767398806013,8.55119961267649e-06
45.9907944135556,51.6159146492681,8.63323169126335e-06
46.0681451847137,51.0610854800078,8.71595652658385e-06
46.1454959558717,50.512191603916,8.79937734108856e-06
46.2228467270298,49.9691724742033,8.88349732668738e-06
46.3001974981878,49.4319678649975,8.96831979330613e-06
46.3775482693459,48.9005179189875,9.0538482829533e-06
46.4548990405039,48.3747631439032,9.14008610422319e-06
46.532249811662,47.8546444226959,9.22703614149066e-06
46.60960058282,47.3401030759701,9.31470141122932e-06
46.6869513539781,46.8310808531298,9.40308548875585e-06
46.7643021251361,46.3275199234915,9.49219214601422e-06
46.8416528962942,45.8293629108571,9.58202481190805e-06
46.9190036674522,45.3365529405983,9.67258662170182e-06
46.9963544386103,44.8490336382315,9.76388083361826e-06
47.0737052097683,44.3667491027545,9.85591094918522e-06
47.1510559809264,43.88964392574,9.94868046388276e-06
47.2284067520844,43.4176632149535,1.00421926923156e-05
47.3057575232425,42.9507525692484,1.01364508730636e-05
47.3831082944005,42.488858116444,1.02314583217443e-05
47.4604590655586,42.0319264943172,1.03272184138704e-05
47.5378098367166,41.5799048294412,1.04237344762654e-05
47.6151606078747,41.1327407795935,1.05210097579171e-05
47.6925113790328,40.6903825188942,1.06190474869283e-05
47.7698621501908,40.2527787221272,1.0717850906511e-05
47.8472129213489,39.8198785836533,1.08174232504849e-05
47.9245636925069,39.3916318264556,1.09177677091412e-05
48,38.9784188565709,1.10163752915973e-05
48,38.9784188565709,1.10163752915973e-05
48.0000000022237,38.9784205539618,1.10163752945148e-05
48.0000000044473,38.9784209987563,1.10163752974324e-05
48.000000006671,38.9784213803913,1.101637530035e-05
48.0000000289075,38.9784254431082,1.10163753295257e-05
48.0000000511439,38.9784295130136,1.10163753587014e-05
48.0000000733804,38.9784335823536,1.10163753878771e-05
48.0000002957455,38.9784742754178,1.10163756796341e-05
48.0000005181105,38.9785149684689,1.10163759713911e-05
48.0000007404755,38.9785556615058,1.10163762631482e-05
48.0000029641257,38.9789625906374,1.10163791807192e-05
48.0000051877759,38.9793695183602,1.10163820982907e-05
48.0000074114261,38.9797764446488,1.10163850158629e-05
48.000029647928,38.9838455838244,1.10164141916324e-05
48.00005188443,38.9879145822189,1.10164433674491e-05
48.0000741209319,38.9919834371709,1.10164725433065e-05
48.0002964859513,39.0326596197455,1.10167642995466e-05
48.0005188509708,39.0733217321458,1.10170560465226e-05
48.0007412159902,39.1139695124905,1.10173477765399e-05
48.0018977939382,39.3251715102467,1.10188644906526e-05
48.0030543718862,39.5359923480495,1.10203795222044e-05
48.0042109498342,39.7464275792383,1.10218918390554e-05
48.0053675277822,39.956476058594,1.10234003682977e-05
48.0100950853099,40.8110515634316,1.10294948584081e-05
48.0135083202139,41.4240529630228,1.10338080149108e-05
48.0169215551179,42.0337270715137,1.10380172564192e-05
48.0203347900219,42.6400902841575,1.10420975440194e-05
48.0237480249259,43.2431587474399,1.10460250011246e-05
48.0394155737913,45.9695520970933,1.10615009798288e-05
48.0550831226566,48.6283788232443,1.10713396157364e-05
48.070750671522,51.2211372505482,1.1073891639887e-05
48.0864182203874,53.7492897830828,1.10678743607439e-05
48.0984307264631,55.6447948875394,1.1056835880794e-05
48.1104432325388,57.5037925164951,1.10398932760237e-05
48.1224557386146,59.3269028901523,1.10168353808529e-05
48.1344682446903,61.114736469714,1.0987531189229e-05
48.1442609120378,62.5465060563779,1.09589782554577e-05
48.1540535793853,63.9555512409576,1.09262465822782e-05
48.1638462467327,65.3421875901611,1.08893735195567e-05
48.1736389140802,66.7067264752293,1.08484207373388e-05
48.1834315814276,68.0494750230575,1.08034726569927e-05
48.1983809315041,70.0579587809655,1.07273914010615e-05
48.2133302815806,72.017424821125,1.06426973909053e-05
48.2282796316571,73.9289096185607,1.05499200704088e-05
48.2432289817336,75.7934280907549,1.04496457154439e-05
48.2581783318101,77.6119741252675,1.0342500919363e-05
48.2731276818865,79.3855208963331,1.02291391669759e-05
48.2972118036716,82.1505492570518,1.00351264407078e-05
48.3212959254567,84.8051252916189,9.82950808342818e-06
48.3453800472418,87.3529954568386,9.61499739354518e-06
48.3694641690269,89.7977810529515,9.39415531634459e-06
48.393548290812,92.142982344749,9.16934242830317e-06
48.4176324125971,94.3919825613536,8.94268796215277e-06
48.4417165343822,96.5480517825562,8.71607311671121e-06
48.4658006561672,98.6143507583686,8.49112740505454e-06
48.4898847779523,100.593934589489,8.26923544336281e-06
48.5139688997374,102.489756251865,8.05155055658442e-06
48.5380530215225,104.304669976388,7.83901228001134e-06
48.5621371433076,106.041434557417,7.63236613120964e-06
48.5862212650927,107.702716555222,7.43218465417775e-06
48.6103053868778,109.291093380815,7.23888873381376e-06
48.6343895086629,110.809056239114,7.05276820929632e-06
48.6602769921545,112.364911150583,6.86091600552093e-06
48.6861644756462,113.845080032363,6.67765995500653e-06
48.7120519591379,115.252345716273,6.50299637586168e-06
48.7379394426296,116.589391192957,6.3368395123051e-06
48.7638269261213,117.858803235778,6.17903892787528e-06
48.789714409613,119.063075679082,6.02939366557975e-06
48.8299392106827,120.810690880645,5.8124772688604e-06
48.8701640117525,122.415423155523,5.61364401882455e-06
48.9103888128222,123.885406847621,5.43178798999555e-06
48.950613613892,125.228326666152,5.26576783138462e-06
48.9908384149617,126.451442250435,5.11444326168403e-06
49.0310632160315,127.561611669619,4.97670231524148e-06
49.0712880171012,128.565313687985,4.85148000498799e-06
49.111512818171,129.46866870868,4.73776894671961e-06
49.1517376192407,130.277458508643,4.63462436494932e-06
49.1928455320361,131.01198507798,4.53921664023086e-06
